BIOSAMPLE GOLD ID,BIOSAMPLE NAME,latitude,longitude,_error
Gb0137858,"Permafrost microbial communities from Nunavut, Canada - A15_80cm_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137859,"Permafrost microbial communities from Nunavut, Canada - A15_80cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137860,"Permafrost microbial communities from Nunavut, Canada - A15_80cm_18M",NA,NA,could not convert string to float: 'NA'
Gb0137861,"Permafrost microbial communities from Nunavut, Canada - A20_80cm_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137862,"Permafrost microbial communities from Nunavut, Canada - A20_80cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137863,"Permafrost microbial communities from Nunavut, Canada - A21_80cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137864,"Permafrost microbial communities from Nunavut, Canada - A23_80cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137865,"Permafrost microbial communities from Nunavut, Canada - A24_80cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137866,"Permafrost microbial communities from Nunavut, Canada - A28_80cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137867,"Permafrost microbial communities from Nunavut, Canada - A3_80cm_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137868,"Permafrost microbial communities from Nunavut, Canada - A3_80cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137869,"Permafrost microbial communities from Nunavut, Canada - A3_80cm_18M",NA,NA,could not convert string to float: 'NA'
Gb0137870,"Permafrost microbial communities from Nunavut, Canada - A30_80cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137871,"Permafrost microbial communities from Nunavut, Canada - A35_80cm_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137872,"Permafrost microbial communities from Nunavut, Canada - A39_80cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137873,"Permafrost microbial communities from Nunavut, Canada - A7_80cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137878,"Permafrost microbial communities from Nunavut, Canada - A15_65cm_0.25M",NA,NA,could not convert string to float: 'NA'
Gb0137879,"Permafrost microbial communities from Nunavut, Canada - A15_65cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137880,"Permafrost microbial communities from Nunavut, Canada - A24_35cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137881,"Permafrost microbial communities from Nunavut, Canada - A26_65cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0141625,Control soil microbial communities from Southeast China to study Uranium biodegradation - C3,NA,NA,could not convert string to float: 'NA'
Gb0141626,Control soil microbial communities from Southeast China to study Uranium biodegradation - C2,NA,NA,could not convert string to float: 'NA'
Gb0141627,Control soil microbial communities from Southeast China to study Uranium biodegradation - C1,NA,NA,could not convert string to float: 'NA'
Gb0141628,Uranium tailings soil microbial communities from Southeast China - SML3,NA,NA,could not convert string to float: 'NA'
Gb0141629,Uranium tailings soil microbial communities from Southeast China - SML2,NA,NA,could not convert string to float: 'NA'
Gb0141630,Uranium tailings soil microbial communities from Southeast China - SML1,NA,NA,could not convert string to float: 'NA'
Gb0142507,Terrestrial soil bacterial communities associated with human hosts from Fiji - M.HHBUL.SO,NA,NA,could not convert string to float: 'NA'
Gb0142508,Terrestrial soil bacterial communities associated with human hosts from Fiji - M.TAM.SO,NA,NA,could not convert string to float: 'NA'
Gb0142509,Terrestrial soil bacterial communities associated with human hosts from Fiji - M1.HH1.SO,NA,NA,could not convert string to float: 'NA'
Gb0142510,Terrestrial soil bacterial communities associated with human hosts from Fiji - M1.HH12.SO,NA,NA,could not convert string to float: 'NA'
Gb0142511,Terrestrial soil bacterial communities associated with human hosts from Fiji - M1.HH2.SO,NA,NA,could not convert string to float: 'NA'
Gb0142512,Terrestrial soil bacterial communities associated with human hosts from Fiji - M1.HH3.SO,NA,NA,could not convert string to float: 'NA'
Gb0142513,Terrestrial soil bacterial communities associated with human hosts from Fiji - M1.HH32.SO,NA,NA,could not convert string to float: 'NA'
Gb0142514,Terrestrial soil bacterial communities associated with human hosts from Fiji - M1.HH33.SO,NA,NA,could not convert string to float: 'NA'
Gb0142515,Terrestrial soil bacterial communities associated with human hosts from Fiji - M1.HH4.SO,NA,NA,could not convert string to float: 'NA'
Gb0142516,Terrestrial soil bacterial communities associated with human hosts from Fiji - M1.HH5.SO,NA,NA,could not convert string to float: 'NA'
Gb0142517,Terrestrial soil bacterial communities associated with human hosts from Fiji - M1.HH9.SO,NA,NA,could not convert string to float: 'NA'
Gb0142518,Terrestrial soil bacterial communities associated with human hosts from Fiji - M1.TAM.SO,NA,NA,could not convert string to float: 'NA'
Gb0142519,Terrestrial soil bacterial communities associated with human hosts from Fiji - NK.HH13.SO,NA,NA,could not convert string to float: 'NA'
Gb0142520,Terrestrial soil bacterial communities associated with human hosts from Fiji - NK.HH15.SO,NA,NA,could not convert string to float: 'NA'
Gb0142521,Terrestrial soil bacterial communities associated with human hosts from Fiji - NK.HH16.SO,NA,NA,could not convert string to float: 'NA'
Gb0142522,Terrestrial soil bacterial communities associated with human hosts from Fiji - NK.HH19.SO,NA,NA,could not convert string to float: 'NA'
Gb0142523,Terrestrial soil bacterial communities associated with human hosts from Fiji - NK.HH21.SO,NA,NA,could not convert string to float: 'NA'
Gb0142524,Terrestrial soil bacterial communities associated with human hosts from Fiji - NK.HH23.SO,NA,NA,could not convert string to float: 'NA'
Gb0142525,Terrestrial soil bacterial communities associated with human hosts from Fiji - NK.HH40.SO,NA,NA,could not convert string to float: 'NA'
Gb0142526,Terrestrial soil bacterial communities associated with human hosts from Fiji - NK.HH41.SO,NA,NA,could not convert string to float: 'NA'
Gb0142527,Terrestrial soil bacterial communities associated with human hosts from Fiji - NV.SO,NA,NA,could not convert string to float: 'NA'
Gb0142528,Terrestrial soil bacterial communities associated with human hosts from Fiji - W1.HH1.SO,NA,NA,could not convert string to float: 'NA'
